id,age,death_date,age_standard_deviation,age_at_death,latitude,longitude,y_haplogroup,mtdna_haplogroup
HG01986,0,2023,0,..,13.17,-59.5525,..,..
HG01989,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01990,0,2023,0,..,13.17,-59.5525,..,..
HG02009,0,2023,0,..,13.17,-59.5525,..,..
HG02010,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02012,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02013,0,2023,0,..,13.17,-59.5525,..,..
HG02014,0,2023,0,..,13.17,-59.5525,..,..
HG02051,0,2023,0,..,13.17,-59.5525,..,..
HG02052,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02053,0,2023,0,..,13.17,-59.5525,..,..
HG02054,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02095,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02107,0,2023,0,..,13.17,-59.5525,..,..
HG02108,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02111,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02143,0,2023,0,..,13.17,-59.5525,..,..
HG02144,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02255,0,2023,0,..,13.17,-59.5525,..,..
HG02256,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02281,0,2023,0,..,13.17,-59.5525,..,..
HG02282,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02283,0,2023,0,..,13.17,-59.5525,..,..
HG02284,0,2023,0,..,13.17,-59.5525,..,..
HG02307,0,2023,0,..,13.17,-59.5525,..,..
HG02308,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02309,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02314,0,2023,0,..,13.17,-59.5525,..,..
HG02315,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02317,0,2023,0,..,13.17,-59.5525,..,..
HG02318,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02322,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02323,0,2023,0,..,13.17,-59.5525,..,..
HG02325,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02330,0,2023,0,..,13.17,-59.5525,..,..
HG02332,0,2023,0,..,13.17,-59.5525,..,..
HG02334,0,2023,0,..,13.17,-59.5525,..,..
HG02337,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02339,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02343,0,2023,0,..,13.17,-59.5525,..,..
HG02427,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02429,0,2023,0,..,13.17,-59.5525,..,..
HG02433,0,2023,0,..,13.17,-59.5525,..,..
HG02439,0,2023,0,..,13.17,-59.5525,..,..
HG02442,0,2023,0,..,13.17,-59.5525,..,..
HG02445,0,2023,0,..,13.17,-59.5525,..,..
HG02449,0,2023,0,..,13.17,-59.5525,..,..
HG02450,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02455,0,2023,0,..,13.17,-59.5525,..,..
HG02470,0,2023,0,..,13.17,-59.5525,..,..
HG02471,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02476,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02477,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02479,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02481,0,2023,0,..,13.17,-59.5525,..,..
HG02484,0,2023,0,..,13.17,-59.5525,..,..
HG02485,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02489,0,2023,0,..,13.17,-59.5525,..,..
HG02496,0,2023,0,..,13.17,-59.5525,..,..
HG02497,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02501,0,2023,0,..,13.17,-59.5525,..,..
HG02502,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02505,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02508,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02511,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02536,0,2023,0,..,13.17,-59.5525,..,..
HG02537,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02541,0,2023,0,..,13.17,-59.5525,..,..
HG02545,0,2023,0,..,13.17,-59.5525,..,..
HG02546,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02549,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02554,0,2023,0,..,13.17,-59.5525,..,..
HG02555,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02557,0,2023,0,..,13.17,-59.5525,..,..
HG02558,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02577,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG02580,0,2023,0,..,13.17,-59.5525,n/a (female),..
HGDP01396,0,2023,0,..,44,39,..,..
HGDP01401,0,2023,0,..,44,39,n/a (female),..
HGDP01402,0,2023,0,..,44,39,..,..
HGDP01382,0,2023,0,..,44,39,n/a (female),..
HGDP01383,0,2023,0,..,44,39,..,..
HGDP01385,0,2023,0,..,44,39,..,..
HGDP01386,0,2023,0,..,44,39,n/a (female),..
HGDP01387,0,2023,0,..,44,39,n/a (female),..
HGDP01397,0,2023,0,..,44,39,..,..
HGDP01398,0,2023,0,..,44,39,n/a (female),..
HGDP01399,0,2023,0,..,44,39,n/a (female),..
HGDP01400,0,2023,0,..,44,39,n/a (female),..
HGDP01401,0,2023,0,..,44,39,n/a (female),..
HGDP01402,0,2023,0,..,44,39,..,..
HGDP01403,0,2023,0,..,44,39,..,..
HGDP01404,0,2023,0,..,44,39,..,..
Darra.I.Kur,4466,-2443,42,..,36.783333,70,..,H2a
I14688,2450,-427,58,adult; 45+ yrs.,42.020556,20.388611,..,T2b
I14690,3000,-977,375,..,42.020556,20.388611,..,T1a4
I14692,2900,-877,318,..,42.020556,20.388611,n/a (female),H1a
I16251,2500,-477,130,adult; 40+ yrs.,42.020556,20.388611,..,H1u2
I16254,2450,-427,58,adult; 20-25 yrs.,42.020556,20.388611,..,T2b23
I16256,2500,-477,87,..,42.020556,20.388611,n/a (female),H+152
I17640,2450,-427,58,adult; 20-29 yrs.,42.020556,20.388611,..,n/a (<2x)
I17623,1050,973,58,adult; 35+ yrs.,40.285,19.477222,..,n/a (<2x)
I14691,3500,-1477,664,adult; 25-29 yrs.,42.020556,20.388611,n/a (female),n/a (<2x)
I14689,4505,-2482,59,..,42.020556,20.388611,..,H102
I15705,8096,-6073,49,..,40.810556,20.793889,n/a (female),N1a1a1
I16253,2426,-403,63,..,42.020556,20.388611,..,H+152
I13835,246,1777,64,adult; 30-40 yrs.,40.625278,20.801111,n/a (female),U3b1
I13838,6200,-4177,433,..,40.671111,20.984722,..,HV4
I13840,6102,-4079,65,..,40.671111,20.984722,..,J1c
I8471,3745,-1722,52,..,42.15,19.29,..,H1h1
I13839,1014,1009,33,adult; 40-45 yrs.,40.432222,20.712778,n/a (female),U4c1
I14622,1121,902,36,..,42.036944,20.397222,..,H11a
I14685,400,1623,87,..,42.12,20.518056,n/a (female),H7c1
I15706,320,1703,43,adult; 45+ yrs.,40.998333,19.8325,..,H5'36
I14686,400,1623,87,adult; 45+ yrs.,42.12,20.518056,..,U5a1a2a
I14687,400,1623,87,adult; 35-40 yrs.,42.12,20.518056,..,T1a1l
I15707,399,1624,53,adult; 45+ yrs.,42.12,20.518056,..,J1c+16261
ALB212,0,2023,0,..,41.33,19.83,n/a (female),..
Ale14,0,2023,0,..,55.18,166,n/a (female),..
Ale32,0,2023,0,..,53,158.65,..,..
Ale20,0,2023,0,..,55.18,166,n/a (female),..
Ale22,0,2023,0,..,55.18,166,..,..
Altai,110450,-108427,11287,..,51.409,84.689,n/a (female),Neanderthal
Altai,110450,-108427,11287,..,51.3975,84.67611111,n/a (female),Neanderthal
Altais1,0,2023,0,..,..,..,n/a  (sex unknown),..
altai363p,0,2023,0,..,50.840069,85.654179,..,..
Altais2,0,2023,0,..,..,..,n/a  (sex unknown),..
NA13607,0,2023,0,..,22.843145,121.185356,..,..
NA13616,0,2023,0,..,22.843145,121.185356,..,..
Ancestor,0,2023,0,..,..,..,..,..
Aconcagua,500,1523,29,..,-32.65,-70.01,..,C1bi 
I7090,7162,-5139,100,..,-38.3605556,-60.2441667,..,C1c
I1748,7162,-5139,100,..,-38.3605556,-60.2441667,..,C1c
I7088,7428,-5405,70,..,-38.3605556,-60.2441667,n/a (female),A2
I0308,7428,-5405,70,..,-38.3605556,-60.2441667,..,A2+(64)
I0309,7652,-5629,71,..,-38.3605556,-60.2441667,..,D1
I2230,8574,-6551,125,..,-38.3605556,-60.2441667,..,C1b
I2232,8373,-6350,65,..,-38.3605556,-60.2441667,..,C1b
I7086,7758,-5735,58,..,-38.3605556,-60.2441667,n/a (female),D1g
I12941,160,1863,115,..,-54.85,-67.57,..,C1b
I12942,60,1963,43,..,-54.87,-67.33,n/a (female),C1b
I12943,180,1843,118,..,-54.85,-67.57,n/a (female),C1b
Yaghan890,100,1923,29,..,-55.01,-69.07,..,D4h3a 
Yaghan894,100,1923,29,..,-55.01,-69.07,n/a (female),D4h3a 
Yaghan895,100,1923,29,..,-55.01,-69.07,n/a (female),C1b 
I12355,1490,533,98,..,-54.85,-68.52,..,C1b
I8351,1630,393,39,..,-36.0772222,-62.3472222,n/a (female),D1g+16189
I8348,6875,-4852,49,..,-36.0772222,-62.3472222,n/a (female),R
I8349,6715,-4692,38,..,-36.0772222,-62.3472222,n/a (female),C1b
I8350,7700,-5677,722,..,-36.0772222,-62.3472222,..,A2
I12376,2333,-310,127,..,-38.84,-61.42,n/a (female),A2+(64)
I12356,280,1743,107,..,-54.7,-65.35,..,D1
I12357,330,1693,98,..,-54.7,-65.35,n/a (female),D1g+16189
I12358,440,1583,92,..,-54.7,-65.35,..,C
I12359,590,1433,46,..,-54.7,-65.35,..,C1b
I12360,400,1623,52,..,-54.7,-65.35,..,D1g+16189
I12361,420,1603,52,..,-54.6,-65.58,..,D1g+16189
MA572,100,1923,29,..,-53.26,-70.45,n/a (female),D4h3a 
MA575,100,1923,29,..,-53.26,-70.45,..,C1b 
MA577,100,1923,29,..,-53.26,-70.45,..,D1g5 
I12362,5820,-3797,95,..,-53.58,-68.02,n/a (female),C
I12354,450,1573,61,..,-53.78,-67.7,..,D1g+16189
I12363,380,1643,49,..,-53.28,-68.47,..,D1g+16189
I12364,770,1253,69,..,-53.82,-67.65,n/a (female),D4h3a
I12366,100,1923,84,..,-53.66,-67.96,n/a (female),D1g+16189
I12367,700,1323,29,..,-53.82,-67.65,n/a (female),C1c8
I12365,740,1283,35,..,-53.82,-67.65,..,C1c8
I16119,2286,-263,60,..,40.15118,44.44316667,..,U3b2c
I1407,5875,-3852,245,..,39.73,45.2,..,H
I1409,6047,-4024,75,..,39.73,45.2,n/a (female),U4a
I1631,6099,-4076,66,8±2,39.73,45.2,n/a (female),K1a8
I1632,6076,-4053,66,15±3,39.73,45.2,..,K
I1634,6156,-4133,80,..,39.73,45.2,..,H2a1
ARM002,5163,-3140,76,..,40.866667,43.716667,..,K3
I1630,750,1273,58,..,38.865,46.199,n/a (female),U3b1
I1659,655,1368,27,..,38.865,46.199,n/a (female),R6b
I1660,750,1273,58,..,38.865,46.199,n/a (female),T
I1633,4465,-2442,48,adult ,40.65,45.1167,n/a (female),H1u
I1635,4476,-2453,46,..,40.65,45.1167,..,X2f
I1658,5162,-3139,80,..,40.382958,43.873663,n/a (female),U3a2a
ARM001,5417,-3394,69,..,40.866667,43.716667,n/a (female),R1a1
ARM002,5163,-3140,76,..,40.866667,43.716667,..,K3
I13599,4337,-2314,49,..,40.783,43.95,n/a (female),U1a1a
I14339,4409,-2386,58,..,41.03,45.08,..,H
I14341,4400,-2377,87,..,41.03,45.08,..,T2h
I14343,4325,-2302,72,..,41.03,45.08,..,U3b1a1
I14346,4450,-2427,58,adult; 25-30 yrs.,40.09,44.28,n/a (female),U1a1
I15132,4479,-2456,37,..,41.03,45.08,n/a (female),U3b2
I16706,4723,-2700,65,..,40.783,43.95,n/a (female),H8a1
I16920,4400,-2377,87,..,41.03,45.08,n/a (female),T2a1b2b
I14340,4340,-2317,48,..,41.03,45.08,..,N1b1a
I17499,4950,-2927,289,..,40.783,43.95,..,T2h
I1657,5123,-3100,104,..,40.39075,43.89106667,n/a (female),U3a2a
I14812,4700,-2677,144,..,40.783,43.95,n/a (female),U7b
I16116,3050,-1027,29,..,40.91666,44.5,n/a (female),H14a
I16117,2586,-563,77,..,40.91666,44.5,..,U3c
I16191,2608,-585,71,..,40.91666,44.5,..,U7a
I16193,2625,-602,72,..,40.91666,44.5,..,T2
I16195,2625,-602,72,..,40.91666,44.5,n/a (female),N1b1a
I17180,2566,-543,94,..,40.91666,44.5,..,U4d3
I17181,2599,-576,68,adult ?,40.91666,44.5,n/a (female),T2b
I16553,2800,-777,58,..,40.91666,44.5,..,K1a4c
I16546,2800,-777,58,..,40.91666,44.5,..,K1a4c
I16194,2625,-602,72,..,40.91666,44.5,..,K3
I16219,2590,-567,73,..,40.91666,44.5,..,T2b
I16547,2800,-777,58,..,40.91666,44.5,..,n/a (<2x)
I19322,2600,-577,70,..,40.416667,45.2,n/a (female),X2
I13947,2612,-589,74,..,40.91666,44.5,..,T2e
I14054,2723,-700,42,..,40.91666,44.5,..,N1b1a
I14057,2599,-576,68,..,40.91666,44.5,..,HV1
I16536,2776,-753,26,..,40.91666,44.5,..,H2a
I16707,2823,-800,33,..,40.783,43.95,..,R1a1a
I17184,2614,-591,73,..,40.8716,43.8445,..,U1a1a1
I3938,3001,-978,42,..,40.15118,44.44316667,..,H28
I3944,2934,-911,37,Young adult ,40.15118,44.44316667,..,H7c5
I17308,2256,-233,60,..,40.8716,43.8445,..,X2d1
I19327,2225,-202,50,..,40.416667,45.2,..,K1a19
I1636,1956,67,38,adult; 20-25 yrs.,39.549,45.078,..,W3a1
I1639,1872,151,41,adult; 20-30 yrs.,39.549,45.078,n/a (female),T2h
I1637,1956,67,38,adult; 50-65 yrs.,39.549,45.078,..,H13a1a2
I13948,3128,-1105,48,..,40.91666,44.5,..,U4a2c
I15732,3318,-1295,43,..,40.91666,44.5,..,K1a1
I15733,3320,-1297,41,..,40.91666,44.5,..,J1c
I15734,3325,-1302,41,..,40.91666,44.5,n/a (female),T1a2
I15749,3150,-1127,29,..,40.91666,44.5,n/a (female),U8b1a2b
I16217,3074,-1051,49,adult ,40.416667,45.2,n/a (female),K1a
I16220,3216,-1193,51,..,40.416667,45.2,..,U3b3
I16537,2977,-954,44,..,40.91666,44.5,n/a (female),J2b1
I16554,3083,-1060,48,..,40.91666,44.5,..,K1a12a
I17182,2941,-918,40,..,40.8716,43.8445,n/a (female),N1b1a
I18479,3150,-1127,29,..,40.416667,45.2,n/a (female),HV1a1a
I19329,3217,-1194,56,..,40.416667,45.2,..,T1a1
I19331,3125,-1102,43,..,40.416667,45.2,..,H13a2b
I19332,3125,-1102,43,..,40.416667,45.2,..,H2
I19333,3125,-1102,43,..,40.416667,45.2,..,T2c1a
I19334,3125,-1102,43,..,40.416667,45.2,..,I6
I19335,3285,-1262,49,..,40.416667,45.2,..,K1a23
I19336,3285,-1262,49,..,40.416667,45.2,..,K1a12a
I19337,3025,-1002,43,..,40.416667,45.2,n/a (female),W3a1a1
I19338,3066,-1043,52,..,40.416667,45.2,n/a (female),I1
I19339,3125,-1102,43,..,40.416667,45.2,n/a (female),U3b2a1
I19341,3285,-1262,49,..,40.416667,45.2,..,X2f
I19342,3125,-1102,43,..,40.416667,45.2,n/a (female),R1a1a
I19343,3025,-1002,43,..,40.416667,45.2,..,W6
I19344,3285,-1262,49,..,40.416667,45.2,n/a (female),H4
I19345,3125,-1102,43,..,40.416667,45.2,..,J1d6
I19346,3125,-1102,43,..,40.416667,45.2,..,K1a
I19347,3125,-1102,43,..,40.416667,45.2,n/a (female),J1b1b1
I19348,3285,-1262,49,..,40.416667,45.2,..,T1a
I19349,3025,-1002,43,..,40.416667,45.2,..,U2e1h
I19350,3125,-1102,43,..,40.416667,45.2,n/a (female),T2i1
I19351,3285,-1262,49,..,40.416667,45.2,n/a (female),I1c1a
I19352,3285,-1262,49,..,40.416667,45.2,n/a (female),U5b2a1a+16311
I19353,2986,-963,43,..,40.416667,45.2,..,N1b1a2
I19354,3052,-1029,52,..,40.416667,45.2,..,HV
I20439,2911,-888,31,..,40.29221,45.130679,n/a (female),X2e2a2
I20440,3135,-1112,43,..,40.29221,45.130679,n/a (female),W6b
I20441,2793,-770,30,..,40.29221,45.130679,..,U2+152
I20443,2896,-873,38,..,40.29221,45.130679,..,H2a
I14051,2690,-667,35,..,40.91666,44.5,n/a (female),T2c1a
I14052,2690,-667,35,..,40.91666,44.5,n/a (female),U5a1d
I14053,2690,-667,35,..,40.91666,44.5,..,H
I14055,2690,-667,35,..,40.91666,44.5,..,K1a12a
I14056,2690,-667,35,..,40.91666,44.5,..,H2a1
I14066,2875,-852,72,..,40.91666,44.5,n/a (female),H
I14588,2875,-852,72,..,40.91666,44.5,..,U5b2a1a1
I14601,2875,-852,72,..,40.91666,44.5,..,W5
I14602,2875,-852,72,..,40.91666,44.5,n/a (female),J1c2e
I14603,2877,-854,39,..,40.91666,44.5,n/a (female),H29
I14605,2875,-852,72,..,40.91666,44.5,..,K1a12a
I14606,2875,-852,72,..,40.91666,44.5,..,X4
I14618,2986,-963,49,..,40.91666,44.5,..,H8a1
I14620,2915,-892,31,..,40.91666,44.5,..,T1a1
I15729,3150,-1127,29,..,40.91666,44.5,n/a (female),W3a1
I15748,3285,-1262,49,..,40.91666,44.5,n/a (female),U5a2+16362
I15750,3285,-1262,49,..,40.91666,44.5,n/a (female),W3b
I16196,3125,-1102,43,..,40.91666,44.5,..,K1a4b
I18162,3125,-1102,43,..,40.833333,43.916667,..,U8b1a1
I18163,3125,-1102,43,..,40.833333,43.916667,..,J1b1b1
I18165,3125,-1102,43,..,40.833333,43.916667,..,X2
I18166,3285,-1262,49,..,40.516618,44.933321,n/a (female),X2
I18167,3285,-1262,49,..,40.516618,44.933321,n/a (female),H13a1a2
I18168,3285,-1262,49,..,40.516618,44.933321,..,H2a
I18248,3125,-1102,43,..,40.833333,43.916667,n/a (female),X2+225+@153
I18467,3285,-1262,49,..,40.416667,45.2,n/a (female),U8b1a2+16311
I18468,3050,-1027,29,..,40.416667,45.2,..,HV18
I18469,2865,-842,78,..,40.416667,45.2,..,W6
I18470,3050,-1027,29,..,40.416667,45.2,..,N1a1a+152
I18472,3285,-1262,49,..,40.416667,45.2,n/a (female),K1a1b1e
I18478,2750,-727,115,..,40.416667,45.2,..,J2b1e1
I18481,3050,-1027,29,..,40.416667,45.2,..,I1c1a
I18486,3285,-1262,49,..,40.416667,45.2,..,T2a3
I18487,3390,-1367,35,..,40.416667,45.2,n/a (female),R0a3
I19321,3050,-1027,29,..,40.416667,45.2,..,H15a1b
I19323,3390,-1367,35,..,40.416667,45.2,..,HV1a'b'c
I19324,2865,-842,78,..,40.416667,45.2,n/a (female),HV1a1a
I19325,3285,-1262,49,..,40.416667,45.2,..,W4
I19326,3150,-1127,29,..,40.416667,45.2,..,C1
I19328,2809,-786,27,..,40.416667,45.2,n/a (female),N1a1a+152
I14065,2875,-852,72,..,40.91666,44.5,..,I2
I16376,2690,-667,35,..,40.91666,44.5,..,W+194
I14619,2875,-852,72,..,40.91666,44.5,..,I2
I14621,2875,-852,72,..,40.91666,44.5,n/a (female),H8a1
I18483,3150,-1127,29,..,40.416667,45.2,n/a (female),N1b1a3
I15730,3285,-1262,49,..,40.91666,44.5,n/a (female),K1a12a
I18164,3125,-1102,43,adult ,40.833333,43.916667,n/a (female),J2b1f
I18247,3125,-1102,43,..,40.833333,43.916667,n/a (female),K1a4b
I15663,3125,-1102,43,..,40.91666,44.5,..,n/a (<2x)
I16216,2875,-852,72,adult ,40.91666,44.5,..,H2
I14617,2915,-892,31,..,40.91666,44.5,..,H29
I15731,3285,-1262,49,..,40.91666,44.5,..,X2
DA31,3200,-1177,87,..,40.52027778,44.93083333,..,HV0a
DA35,3259,-1236,63,..,40.52027778,44.93083333,n/a (female),J1b1a1+146
RISE396,3009,-986,56,..,39.2,46.4,n/a (female),H6b
RISE397,2908,-885,44,..,39.2,46.4,..,T1a2
RISE407,2935,-912,59,..,40.15,45.86,n/a (female),H8a
RISE408,3050,-1027,58,..,40.15,45.86,..,I5c
RISE412,3018,-995,56,..,40.416667,45.2,n/a (female),U4c1a
I18267,3285,-1262,49,..,40.516618,44.933321,n/a (female),H3+152
I18269,3285,-1262,49,..,40.516618,44.933321,n/a (female),H13a2c1
I18270,3285,-1262,49,..,40.516618,44.933321,n/a (female),H20
I18271,3285,-1262,49,..,40.516618,44.933321,n/a (female),W1+119
I18272,3285,-1262,49,..,40.516618,44.933321,n/a (female),N1b1a3
I18274,3150,-1127,29,..,40.516618,44.933321,n/a (female),H4a1a1a
I18275,3285,-1262,49,..,40.516618,44.933321,n/a (female),T2h
I18276,3285,-1262,49,..,40.516618,44.933321,..,N1b1a3
I18277,3285,-1262,49,..,40.516618,44.933321,..,H13a1a2
I18278,3285,-1262,49,..,40.516618,44.933321,n/a (female),T2h
I18279,3285,-1262,49,..,40.516618,44.933321,n/a (female),J1b1b1
I18280,3285,-1262,49,..,40.516618,44.933321,n/a (female),U2e2a1
I18273,3285,-1262,49,..,40.516618,44.933321,n/a (female),H+152
I18159,2565,-542,38,..,39.434403,46.22504,n/a (female),H5
I18160,2565,-542,38,..,39.434403,46.22504,n/a (female),H13a2b4
I18161,2565,-542,38,..,39.434403,46.22504,..,U3b3
I18236,2565,-542,38,..,39.434403,46.22504,n/a (female),T1
I18237,2565,-542,38,..,39.434403,46.22504,..,H2a
I18238,2565,-542,38,..,39.434403,46.22504,..,N1a1b1
I20436,3024,-1001,49,..,40.29221,45.130679,..,N1b1a5
I20444,2622,-599,75,..,40.29221,45.130679,..,T2a1b2b
I20438,2023,0,44,..,40.29221,45.130679,n/a (female),C5c+16234
I20437,2022,1,39,..,40.29221,45.130679,n/a (female),T1a9
I20442,1669,354,33,..,40.29221,45.130679,n/a (female),N1b1a
I14813,3945,-1922,48,..,40.783,43.95,..,HV1a1
I1656,3397,-1374,32,..,40.377222,43.938333,n/a (female),T1a2
I17183,3270,-1247,45,..,40.8716,43.8445,..,K1a4c
